,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
95,kapaa,22.08,-159.32,25.56,88,90,6.7,US,1596220794
96,newport,51.59,-3.0,20.56,83,100,0.89,GB,1596220860
97,hovd,48.01,91.64,13.04,57,0,2.1,MN,1596221079
98,flinders,-34.58,150.86,6.67,87,61,0.45,AU,1596221079
99,talnakh,69.49,88.4,16.0,82,100,3.0,RU,1596221079
100,kushiro,42.98,144.37,17.52,93,100,1.24,JP,1596221079
101,avarua,-21.21,-159.78,18.0,88,8,0.5,CK,1596221075
102,palmer,42.16,-72.33,31.11,37,40,2.6,US,1596221080
103,soyo,-6.13,12.37,22.37,81,0,4.12,AO,1596221080
104,nacala,-14.54,40.67,20.06,75,2,4.83,MZ,1596221080
105,haines junction,60.75,-137.51,22.81,37,47,0.94,CA,1596220816
106,east london,-33.02,27.91,16.85,62,0,1.59,ZA,1596221080
107,rodez,44.5,2.58,33.0,33,0,5.7,FR,1596221081
108,kaitangata,-46.28,169.85,10.0,85,100,0.89,NZ,1596221081
109,saint george,37.1,-113.58,38.33,11,1,1.5,US,1596221044
110,lodja,-3.48,23.43,27.34,33,7,0.52,CD,1596221081
111,cidreira,-30.18,-50.21,16.22,75,0,5.04,BR,1596221082
112,azuaga,38.27,-5.68,35.56,30,0,4.02,ES,1596221082
113,wanganui,-39.93,175.05,6.67,87,100,0.45,NZ,1596221082
114,kitimat,54.05,-128.65,25.0,47,20,6.7,CA,1596220881
115,matara,5.95,80.54,25.81,88,6,5.1,LK,1596221082
116,bonthe,7.53,-12.51,25.78,84,21,3.49,SL,1596221083
117,katsuura,35.13,140.3,25.0,100,75,1.0,JP,1596221083
118,torbay,47.67,-52.73,18.0,82,75,2.6,CA,1596221083
119,faya,18.39,42.45,19.0,100,75,4.1,SA,1596221083
120,cherskiy,68.75,161.3,5.37,83,100,3.86,RU,1596221083
121,dire dawa,9.59,41.87,22.92,58,92,5.13,ET,1596221084
122,tezu,27.92,96.17,24.47,83,100,1.61,IN,1596221084
123,ponta do sol,32.67,-17.1,24.0,60,20,8.7,PT,1596220980
124,roswell,34.02,-84.36,32.78,62,75,5.1,US,1596220945
125,caconda,-13.73,15.07,14.95,35,0,1.56,AO,1596221084
126,norwood,42.19,-71.2,30.56,45,1,3.1,US,1596221084
127,barrow,71.29,-156.79,3.0,86,40,4.1,US,1596220801
128,ahipara,-35.17,173.17,13.89,81,77,6.25,NZ,1596221085
129,bambous virieux,-20.34,57.76,22.0,88,75,2.6,MU,1596221085
130,impfondo,1.64,18.07,25.86,66,21,1.24,CG,1596221085
131,tuktoyaktuk,69.45,-133.04,19.0,68,40,7.7,CA,1596221086
132,pingliang,35.54,106.69,21.46,70,100,1.27,CN,1596221086
133,mundo nuevo,18.7,-95.5,28.99,77,57,3.26,MX,1596221086
134,nalut,30.33,10.85,31.24,14,0,3.47,LY,1596221086
135,qaanaaq,77.48,-69.36,5.05,66,1,0.82,GL,1596221086
136,wellington,-41.29,174.78,10.0,87,100,3.6,NZ,1596220921
137,luderitz,-26.65,15.16,24.0,23,0,3.1,NA,1596221087
138,aklavik,68.22,-135.01,23.0,64,20,1.0,CA,1596220926
139,bethel,41.37,-73.41,27.78,61,20,2.6,US,1596221087
140,kutum,14.2,24.67,26.1,57,5,5.03,SD,1596221088
141,tiksi,71.69,128.87,3.88,91,53,1.27,RU,1596221088
142,nantucket,41.28,-70.1,24.0,78,90,1.5,US,1596221002
143,chokurdakh,70.63,147.92,8.28,75,100,1.05,RU,1596221088
144,alamosa,37.47,-105.87,23.0,35,1,2.1,US,1596221089
145,nador,35.17,-2.93,30.0,66,47,3.6,MA,1596221089
146,kenora,49.82,-94.43,26.0,50,75,3.1,CA,1596220990
147,kavieng,-2.57,150.8,27.86,78,96,2.96,PG,1596221089
148,waddan,29.16,16.14,31.3,20,0,5.67,LY,1596221089
149,yellowknife,62.46,-114.35,22.22,60,75,4.1,CA,1596221090
150,ballybofey,54.8,-7.78,20.0,77,90,7.2,IE,1596221090
151,uvinza,-5.1,30.39,22.26,53,4,1.93,TZ,1596221090
152,ancud,-41.87,-73.82,11.11,87,90,7.2,CL,1596221090
153,ambon,-3.7,128.18,25.0,15,71,5.78,ID,1596221090
154,arraial do cabo,-22.97,-42.03,22.0,68,75,5.1,BR,1596221091
155,saint-philippe,-21.36,55.77,20.56,77,1,3.1,RE,1596221091
156,kulu,39.1,33.08,25.24,30,0,2.86,TR,1596221091
157,hami,42.8,93.45,24.16,19,0,3.64,CN,1596221091
158,ostrovnoy,68.05,39.51,10.26,93,63,4.05,RU,1596221091
159,naze,28.37,129.48,24.0,94,45,0.5,JP,1596221092
160,nome,64.5,-165.41,13.33,87,90,4.1,US,1596221092
161,ust-uda,54.17,103.03,14.72,91,0,2.29,RU,1596221092
162,arya,33.6,73.07,29.44,83,40,3.6,PK,1596221092
163,geraldton,-28.77,114.6,10.0,93,0,3.1,AU,1596221092
164,langxiang,46.95,128.88,20.18,91,100,1.48,CN,1596221093
165,tasiilaq,65.61,-37.64,8.0,61,5,4.1,GL,1596221093
166,vigrestad,58.57,5.7,18.0,77,100,1.5,NO,1596221093
167,hualmay,-11.1,-77.61,18.88,65,13,3.34,PE,1596221093
168,pestravka,52.41,49.96,18.16,84,100,2.88,RU,1596221093
169,fort nelson,58.81,-122.7,23.0,60,5,1.0,CA,1596220984
170,samarai,-10.62,150.67,24.01,72,86,7.16,PG,1596221094
171,hobart,-42.88,147.33,10.56,81,100,4.6,AU,1596220922
172,college,64.86,-147.8,19.44,67,75,2.6,US,1596221094
173,vaitape,-16.52,-151.75,26.48,79,1,4.5,PF,1596221094
174,kalianget,-7.05,113.93,25.29,79,100,3.27,ID,1596221094
175,alice springs,-23.7,133.88,3.0,37,0,2.6,AU,1596220839
176,tual,-5.67,132.75,25.28,81,47,9.19,ID,1596221095
177,vardo,70.37,31.11,9.0,93,40,8.7,NO,1596221095
178,aykhal,66.0,111.5,14.0,62,0,3.0,RU,1596221095
179,poum,-20.23,164.02,21.63,84,25,12.28,NC,1596221095
180,rosario do sul,-30.26,-54.91,17.92,75,7,1.83,BR,1596221096
181,elat,29.56,34.95,38.0,33,0,4.1,IL,1596221096
182,lokosovo,61.13,74.82,14.18,73,100,2.2,RU,1596221096
183,loubomo,-4.2,12.67,21.71,72,0,3.5,CG,1596221096
184,provideniya,64.38,-173.3,8.11,73,1,2.62,RU,1596221096
185,irituia,-1.77,-47.44,33.22,48,95,1.44,BR,1596221097
186,huntsville,34.73,-86.59,33.0,70,75,4.1,US,1596220802
187,ouango,4.31,22.56,23.85,84,100,0.6,CF,1596221097
188,leh,34.17,77.58,16.72,40,48,1.71,IN,1596221097
189,chapais,49.78,-74.85,24.0,64,75,4.1,CA,1596221098
190,saint-ambroise,48.55,-71.33,25.0,57,75,1.0,CA,1596221098
191,buchanan,5.88,-10.05,25.0,94,75,1.5,LR,1596221098
192,port hawkesbury,45.62,-61.35,26.11,69,1,4.6,CA,1596220979
193,kieta,-6.22,155.63,26.13,79,84,1.12,PG,1596221098
194,sioux lookout,50.1,-91.92,27.0,42,20,1.5,CA,1596221099
195,den helder,52.96,4.76,27.0,54,0,4.1,NL,1596221099
196,tura,25.52,90.22,24.11,92,75,1.44,IN,1596221099
197,riviere-au-renard,49.0,-64.4,21.0,77,75,4.1,CA,1596221099
198,betioky,-23.72,44.38,16.3,84,0,3.69,MG,1596221099
199,padang,-0.95,100.35,24.86,78,74,1.79,ID,1596221100
200,port charlotte,26.98,-82.09,34.44,52,20,2.1,US,1596221100
201,ambulu,-8.35,113.61,21.45,87,17,1.44,ID,1596221100
202,bengkulu,-3.8,102.27,23.33,89,33,3.39,ID,1596221100
203,kudahuvadhoo,2.67,72.89,28.6,77,100,6.44,MV,1596221100
204,linxia,35.6,103.21,19.34,51,92,0.87,CN,1596221100
205,gazanjyk,39.24,55.52,28.26,25,0,3.63,TM,1596221101
206,teya,60.38,92.63,11.24,89,99,0.99,RU,1596221101
207,gamba,-2.65,10.0,22.63,79,89,3.8,GA,1596221101
208,lebu,-37.62,-73.65,12.22,70,100,6.46,CL,1596221102
209,matadi,-5.82,13.45,25.11,60,0,4.89,CD,1596221102
210,noumea,-22.28,166.46,19.0,93,75,1.0,NC,1596220850
211,hanyang,32.14,105.51,20.39,94,100,1.02,CN,1596221103
212,margate,51.38,1.39,28.33,48,54,1.79,GB,1596221103
213,osakarovka,50.56,72.57,18.48,71,0,2.78,KZ,1596221103
214,fort myers beach,26.45,-81.95,34.44,49,20,2.6,US,1596221027
215,mount gambier,-37.83,140.77,9.0,81,7,5.7,AU,1596221103
216,buala,-8.14,159.59,26.94,78,96,2.92,SB,1596221104
217,urubicha,-15.38,-62.95,34.27,20,0,1.32,BO,1596221104
218,hasaki,35.73,140.83,22.22,100,75,2.6,JP,1596221104
219,iracoubo,5.48,-53.2,27.9,79,74,1.28,GF,1596221104
220,toktogul,41.87,72.94,20.0,64,95,1.01,KG,1596221104
221,shu,43.6,73.76,21.4,47,100,1.16,KZ,1596221105
222,podlesnoye,51.82,47.01,20.63,60,100,1.61,RU,1596221105
223,maryborough,-25.53,152.7,14.44,82,39,2.24,AU,1596221105
224,roebourne,-20.78,117.13,20.08,29,0,2.18,AU,1596221105
225,san policarpo,12.18,125.51,26.8,84,100,3.85,PH,1596221105
226,kodiak,57.79,-152.41,13.0,93,90,2.1,US,1596220860
227,clyde river,70.47,-68.59,7.0,100,90,4.1,CA,1596221106
228,seoul,37.57,126.98,25.0,100,90,2.1,KR,1596220860
229,bandarbeyla,9.49,50.81,26.4,76,0,15.24,SO,1596221106
230,hwange,-18.37,26.5,16.34,31,0,1.43,ZW,1596221106
231,te anau,-45.42,167.72,7.87,90,100,0.77,NZ,1596221106
232,nago,26.59,127.98,28.89,79,88,4.47,JP,1596221107
233,oron,4.83,8.23,23.4,89,99,1.1,NG,1596221107
234,sur,22.57,59.53,30.19,70,98,7.61,OM,1596221107
235,hohhot,40.81,111.65,19.0,88,3,2.0,CN,1596221107
236,uruzgan,32.83,66.0,20.13,23,0,1.47,AF,1596221107
237,lorengau,-2.02,147.27,27.94,78,57,3.77,PG,1596221108
238,norman wells,65.28,-126.83,22.0,60,40,3.1,CA,1596221108
239,vestmannaeyjar,63.44,-20.27,12.0,93,90,8.7,IS,1596221108
240,klaksvik,62.23,-6.59,14.0,87,100,5.7,FO,1596221108
241,boma,7.08,-2.17,23.29,95,100,1.28,GH,1596221108
242,lima,-12.04,-77.03,17.0,72,90,3.6,PE,1596221029
243,carauari,-4.88,-66.9,34.33,32,0,1.81,BR,1596221109
244,reyes,-14.32,-67.38,31.33,35,0,1.15,BO,1596221109
245,gardenstown,57.67,-2.34,18.33,79,86,3.58,GB,1596221109
246,nicoya,10.15,-85.45,33.0,52,20,3.1,CR,1596221109
247,hambantota,6.12,81.12,26.0,100,20,3.1,LK,1596221109
248,kryve ozero,47.95,30.35,16.37,86,100,1.45,UA,1596221110
249,fortuna,40.6,-124.16,16.67,83,21,0.45,US,1596221064
250,nouadhibou,20.93,-17.03,23.68,87,0,5.08,MR,1596221110
251,yueyang,29.33,113.09,27.42,80,15,1.56,CN,1596221110
252,marysville,48.05,-122.18,25.56,60,99,3.1,US,1596221110
253,port lincoln,-34.73,135.87,13.36,47,8,7.08,AU,1596221111
254,pilar,-9.6,-35.96,26.0,74,40,7.2,BR,1596221111
255,kargil,34.57,76.1,15.51,48,20,2.81,IN,1596221111
256,joshimath,30.57,79.57,19.94,59,94,0.18,IN,1596221111
257,penalva,-3.29,-45.17,33.23,36,78,1.84,BR,1596221111
258,tommot,58.96,126.29,14.43,88,100,2.79,RU,1596221112
259,nanortalik,60.14,-45.24,7.77,80,100,3.74,GL,1596221112
260,manzhouli,49.6,117.43,16.49,89,59,1.04,CN,1596221112
261,nassau,40.75,-73.58,25.0,73,90,1.56,US,1596220502
262,bangassou,4.74,22.82,23.71,82,87,1.41,CF,1596221113
263,barao de melgaco,-16.19,-55.97,35.0,19,40,2.6,BR,1596221113
264,san miguelito,9.03,-79.5,34.0,52,40,4.6,PA,1596221113
265,tsiroanomandidy,-18.77,46.03,20.76,63,97,2.6,MG,1596221113
266,tabas,33.6,56.92,34.0,20,33,4.1,IR,1596221113
267,laguna,38.42,-121.42,27.22,47,1,4.1,US,1596221006
268,glenluce,54.88,-4.81,20.0,83,100,0.45,GB,1596221114
269,san patricio,19.22,-104.7,35.0,75,40,2.96,MX,1596221114
270,conceicao do araguaia,-8.26,-49.26,35.33,20,12,3.15,BR,1596221114
271,sao filipe,14.9,-24.5,24.27,75,40,4.34,CV,1596221115
272,spas,48.89,24.06,19.0,63,0,2.0,UA,1596221115
273,westport,41.14,-73.36,26.11,74,75,1.69,US,1596221003
274,kingman,35.19,-114.05,40.0,9,1,3.1,US,1596220875
275,luba,3.46,8.55,24.41,84,99,2.92,GQ,1596221115
276,sobolevo,54.43,31.9,12.38,94,12,3.02,RU,1596221116
277,iona,26.52,-81.96,34.44,49,20,2.6,US,1596221116
278,artyom,40.47,50.33,24.0,69,0,3.1,AZ,1596221116
279,pisco,-13.7,-76.22,17.22,82,75,3.6,PE,1596220819
280,lagoa,39.05,-27.98,21.03,70,35,4.38,PT,1596221116
281,lompoc,34.64,-120.46,18.0,82,0,4.6,US,1596221116
282,ambilobe,-13.2,49.05,21.29,88,7,1.4,MG,1596221117
283,keshorai patan,25.3,75.93,31.59,61,9,3.53,IN,1596221102
284,itarema,-2.92,-39.92,28.52,59,66,7.99,BR,1596221117
285,bhimunipatnam,17.88,83.43,29.0,83,40,1.0,IN,1596221117
286,puerto escondido,15.85,-97.07,32.0,59,40,3.03,MX,1596221100
287,andra,62.51,65.89,12.52,97,86,3.12,RU,1596221118
288,tagusao,9.19,117.81,26.76,83,100,5.8,PH,1596221118
289,dzialdowo,53.24,20.17,15.0,93,75,3.6,PL,1596221118
290,necochea,-38.55,-58.74,13.33,63,0,3.58,AR,1596221118
291,constitucion,-35.33,-72.42,14.57,62,100,2.68,CL,1596221119
292,mahebourg,-20.41,57.7,22.0,88,75,2.6,MU,1596221119
293,luanda,-8.84,13.23,22.0,83,75,4.1,AO,1596221020
294,port macquarie,-31.43,152.92,10.0,87,7,2.86,AU,1596220865
295,saint-augustin,51.23,-58.65,14.97,82,100,8.05,CA,1596221119
296,leczna,51.3,22.88,19.0,59,12,2.1,PL,1596221120
297,nyurba,63.28,118.33,11.41,85,0,1.95,RU,1596221120
298,krivodol,43.37,23.48,27.68,50,0,3.32,BG,1596221120
299,talcahuano,-36.72,-73.12,13.0,76,100,4.1,CL,1596221120
300,havre-saint-pierre,50.23,-63.6,17.0,100,90,2.6,CA,1596221121
301,kidodi,-7.6,37.0,21.81,64,4,1.77,TZ,1596221121
302,zhigansk,66.77,123.37,12.96,67,0,4.46,RU,1596221121
303,severo-yeniseyskiy,60.37,93.04,9.82,95,100,0.99,RU,1596221121
304,swellendam,-34.02,20.44,12.0,87,2,1.5,ZA,1596221121
305,simao,22.79,100.97,19.13,95,100,0.57,CN,1596221122
306,yerbogachen,61.28,108.01,13.63,81,100,3.09,RU,1596221122
307,sembe,1.65,14.58,24.26,72,93,0.95,CG,1596221122
308,koungheul,13.98,-14.8,30.92,63,53,2.41,SN,1596221122
309,inuvik,68.35,-133.72,24.0,60,20,2.1,CA,1596221122
310,finschhafen,-6.6,147.87,25.43,83,90,4.48,PG,1596221123
311,pitsunda,43.16,40.34,25.0,83,0,2.0,GE,1596221123
312,nisia floresta,-6.09,-35.21,27.0,74,75,6.7,BR,1596221123
313,novorozhdestvenskaya,45.86,39.95,24.36,64,38,1.94,RU,1596221123
314,warmbad,-28.45,18.73,19.26,22,0,5.25,NA,1596221124
315,henties bay,-22.12,14.28,21.16,36,0,6.75,NA,1596221124
316,duma,34.77,108.14,26.0,88,100,1.0,CN,1596221124
317,ballina,-28.87,153.57,12.0,93,74,3.6,AU,1596221124
318,turukhansk,65.82,87.98,13.22,86,100,8.2,RU,1596221124
319,sile,41.18,29.61,25.0,71,0,3.96,TR,1596221125
320,gat,31.61,34.76,28.33,58,0,0.9,IL,1596221125
321,kapit,2.02,112.93,23.34,90,100,0.33,MY,1596221125
322,ojinaga,29.57,-104.42,36.0,23,1,3.6,MX,1596221125
323,baruun-urt,46.68,113.28,19.18,61,54,3.08,MN,1596221125
324,kahului,20.89,-156.47,28.0,48,20,6.7,US,1596221125
325,khandbari,27.37,87.2,23.27,76,93,0.53,NP,1596221126
326,otautau,-46.15,168.0,8.93,93,100,0.11,NZ,1596221126
327,tomatlan,19.93,-105.25,34.17,46,1,3.53,MX,1596221126
328,broken hill,-31.95,141.43,9.0,57,0,3.6,AU,1596221126
329,russell,32.35,-85.2,33.0,59,75,2.6,US,1596221126
330,chuy,-33.7,-53.46,14.26,78,100,1.6,UY,1596221127
331,mangai,-4.05,19.53,27.88,24,75,0.67,CD,1596221127
332,gambela,8.25,34.58,21.6,90,100,1.31,ET,1596221127
333,meybod,32.25,54.02,34.0,23,75,2.1,IR,1596221127
334,komsomolskiy,40.43,71.72,25.0,47,0,1.76,UZ,1596221127
335,vallenar,-28.57,-70.76,30.66,10,0,2.08,CL,1596221128
336,coquimbo,-29.95,-71.34,22.0,26,0,3.6,CL,1596221128
337,sabha,27.04,14.43,34.48,17,0,5.0,LY,1596221128
338,nemuro,43.32,145.57,17.29,90,92,1.63,JP,1596221128
339,shahrud,36.42,54.98,18.79,56,0,5.73,IR,1596221128
340,novoilinsk,51.68,108.71,14.23,91,3,1.14,RU,1596221129
341,cabo san lucas,22.89,-109.91,31.11,48,20,3.6,MX,1596221018
342,trairi,-3.28,-39.27,28.59,58,9,6.87,BR,1596221065
343,masallatah,32.62,14.0,24.57,76,0,4.14,LY,1596221130
344,samarinda,-0.5,117.15,23.15,97,100,0.55,ID,1596220966
345,mercedes,-34.65,-59.43,17.78,40,0,1.75,AR,1596221130
346,saiha,22.48,92.97,22.35,94,100,0.42,IN,1596221130
347,sumter,28.71,-82.08,34.44,64,35,1.79,US,1596221130
348,urdoma,61.75,48.54,10.42,98,33,1.87,RU,1596221130
349,kamaishi,39.27,141.88,20.37,90,64,2.27,JP,1596221131
350,mount isa,-20.73,139.5,7.0,36,0,2.1,AU,1596221131
351,luis correia,-2.88,-41.67,30.49,50,61,5.03,BR,1596221131
352,sinnamary,5.38,-52.95,28.02,77,88,0.8,GF,1596221131
353,urumqi,43.8,87.6,23.0,43,0,1.0,CN,1596221132
354,mayumba,-3.43,10.66,22.49,83,14,3.79,GA,1596221132
355,paamiut,61.99,-49.67,7.09,93,100,4.45,GL,1596221132
356,airai,-8.93,125.41,10.84,70,55,1.2,TL,1596221132
357,khani,41.96,42.96,24.0,88,40,1.0,GE,1596221133
358,pizarro,4.95,-77.37,28.87,74,76,3.59,CO,1596221133
359,kabanjahe,3.1,98.49,26.0,100,40,1.0,ID,1596221133
360,marawi,8.0,124.29,24.44,93,100,1.79,PH,1596221133
361,namatanai,-3.67,152.43,26.53,84,77,4.35,PG,1596221133
362,bitung,1.45,125.18,25.0,94,40,0.5,ID,1596221134
363,mandalgovi,45.76,106.27,15.61,55,5,10.72,MN,1596221134
364,peterhead,57.51,-1.8,18.33,72,96,8.7,GB,1596221134
365,nioki,-2.72,17.68,29.49,39,73,1.28,CD,1596221134
366,thinadhoo,0.53,72.93,28.38,78,100,5.69,MV,1596221135
367,mareeba,-17.0,145.43,21.0,68,90,7.7,AU,1596221135
368,pokhara,28.23,83.98,22.05,78,99,1.13,NP,1596221135
369,xiongzhou,25.12,114.3,24.4,87,0,0.73,CN,1596221135
370,macusani,-14.08,-70.43,11.54,39,8,2.81,PE,1596221136
371,sosva,59.18,61.86,14.49,95,92,2.24,RU,1596221136
372,cockburn town,21.46,-71.14,28.37,82,14,13.59,TC,1596221136
373,atar,20.52,-13.05,37.0,31,63,2.64,MR,1596221136
374,gannan,47.91,123.5,20.24,76,28,1.93,CN,1596221137
375,kuusamo,65.97,29.18,13.0,71,90,2.1,FI,1596221137
376,maceio,-9.67,-35.74,26.0,74,40,7.2,BR,1596221137
377,boende,-0.22,20.87,26.72,52,9,0.75,CD,1596221137
378,kichera,55.94,110.1,17.12,83,100,2.11,RU,1596221138
379,wanaka,-44.7,169.15,7.22,86,100,1.34,NZ,1596221138
380,bambanglipuro,-7.95,110.28,22.66,88,95,1.77,ID,1596221138
381,vostok,46.49,135.88,15.79,100,84,2.07,RU,1596221138
382,marquette,46.53,-87.63,22.78,70,0,1.34,US,1596221139
383,hofn,64.25,-15.21,12.0,87,90,8.7,IS,1596221139
384,grand baie,-20.02,57.58,20.56,84,15,1.34,MU,1596221139
385,boa vista,2.82,-60.67,30.0,58,40,3.6,BR,1596220988
386,pangnirtung,66.15,-65.71,10.0,93,90,4.1,CA,1596221139
387,schattdorf,46.87,8.65,27.0,57,100,2.1,CH,1596221140
